Wall time,Step,Value
1658798816.4929402,10000,3.2957348823547363
1658798878.653685,30000,3.2918319702148438
1658798904.1798346,40000,3.2874231338500977
1658798940.0295901,50000,3.285709857940674
1658799086.000472,110000,3.2597789764404297
1658799126.5005422,120000,3.2580370903015137
1658799204.194714,150000,3.249346971511841
1658799234.0261757,160000,3.227599859237671
1658799307.9132893,190000,3.2472376823425293
1658799348.9091616,200000,3.2461893558502197
1658799378.2965465,210000,3.234043836593628
1658799439.061542,230000,3.242300510406494
1658799457.3742104,240000,3.236053705215454
1658799552.360775,270000,3.2435338497161865
1658799566.8448942,280000,3.260211229324341
1658799628.2423043,300000,3.2346103191375732
1658799738.9611065,340000,3.2405447959899902
1658799770.9543877,350000,3.2332053184509277
1658799826.558006,370000,3.222437620162964
1658799848.2148235,380000,3.222313404083252
1658799880.4594786,390000,3.223418951034546
1658799901.3695607,400000,3.2213354110717773
1658799947.5837433,410000,3.2223832607269287
1658800129.061196,480000,3.1931402683258057
1658800150.1954322,490000,3.1848533153533936
1658800179.8311746,500000,3.190659999847412
1658800235.2331123,520000,3.1785385608673096
1658800254.524901,530000,3.163687229156494
1658800303.7166908,550000,3.1909000873565674
1658800330.323821,560000,3.1708226203918457
1658800378.6023388,580000,3.1817493438720703
1658800489.0256197,610000,3.2012693881988525
1658800500.0063462,620000,3.20192289352417
1658800539.0140717,630000,3.185051441192627
1658800560.3557367,640000,3.1785874366760254
1658800611.6277022,660000,3.1787643432617188
1658800650.9060192,670000,3.173224687576294
1658800660.4680934,680000,3.1672708988189697
1658800701.0067995,690000,3.173248767852783
1658800739.5053587,710000,3.1941158771514893
1658800774.0186777,720000,3.185044288635254
1658800824.9291742,740000,3.1860203742980957
1658800878.3687491,760000,3.1812875270843506
1658800930.396055,780000,3.1860296726226807
1658800991.5595539,800000,3.16563081741333
1658801020.5751197,810000,3.183335542678833
1658801069.129694,830000,3.1693968772888184
1658801092.8483071,840000,3.1654675006866455
1658801144.457359,860000,3.1760785579681396
1658801183.8142953,870000,3.1779181957244873
1658801249.3915467,900000,3.160878896713257
1658801285.5787456,910000,3.165269374847412
1658801415.9982145,960000,3.1485817432403564
1658801518.9529138,1000000,3.1551594734191895
1658801546.9418957,1010000,3.154618978500366
1658801638.2403305,1040000,3.141584634780884
1658801710.4170873,1070000,3.136202573776245
1658801749.005349,1080000,3.1381924152374268
1658801798.258678,1100000,3.1524465084075928
1658801819.8261974,1110000,3.1291520595550537
1658801921.8600206,1150000,3.1492345333099365
1658801979.15006,1170000,3.135309934616089
1658802113.557537,1220000,3.1502065658569336
1658802219.1083014,1260000,3.1405375003814697
1658802258.3854432,1270000,3.1446568965911865
1658802293.5878935,1290000,3.128202199935913
1658802325.4356003,1300000,3.114030361175537
1658802340.268459,1310000,3.122847557067871
1658802381.3879867,1320000,3.1308491230010986
1658802397.5482485,1330000,3.129382371902466
1658802455.6591775,1350000,3.1404104232788086
1658802507.2394211,1370000,3.150407552719116
1658802533.019055,1380000,3.150155782699585
1658802696.8093324,1440000,3.1630940437316895
1658802725.9812944,1450000,3.1681833267211914
1658802780.7705493,1470000,3.184175729751587
1658802803.2868953,1480000,3.180568218231201
1658802883.017991,1510000,3.178027391433716
1658803063.1245368,1580000,3.1737325191497803
1658803119.3062696,1600000,3.1755805015563965
1658803147.9542058,1610000,3.180494546890259
1658803194.7905893,1630000,3.1678993701934814
1658803253.332944,1650000,3.1776373386383057
1658803305.8803189,1670000,3.1461455821990967
1658803412.7758846,1710000,3.1424124240875244
1658803447.1223588,1720000,3.14353609085083
1658803462.948318,1730000,3.1317298412323
1658803557.3044813,1760000,3.132434368133545
1658803572.9328487,1770000,3.128002405166626
1658803613.391384,1780000,3.11678409576416
1658803626.3629284,1790000,3.1212403774261475
1658803684.5544243,1810000,3.1265790462493896
1658803702.9275727,1820000,3.114426851272583
1658803795.9588225,1850000,3.0967037677764893
1658803808.609014,1860000,3.0882177352905273
1658803848.2196407,1870000,3.088350534439087
1658803914.9358976,1900000,3.083583354949951
1658803949.8818767,1910000,3.040564775466919
1658803972.4453986,1920000,3.042436361312866
1658804006.0900984,1930000,3.080094337463379
1658804078.4744587,1960000,3.065424680709839
1658804164.6362517,1990000,3.051485061645508
1658804187.2032907,2000000,3.075606346130371
1658804207.5519557,2010000,3.072885513305664
1658804259.6677246,2030000,3.041245698928833
1658804295.438987,2040000,3.06613826751709
1658804316.368371,2050000,3.047044277191162
1658804354.2666552,2060000,3.0558526515960693
1658804403.3830037,2080000,3.0156216621398926
1658804460.2567928,2100000,2.982048273086548
1658804516.834833,2120000,3.008559226989746
1658804570.001577,2140000,2.964618682861328
1658804624.0131328,2160000,2.9163081645965576
1658804642.1280115,2170000,2.9493935108184814
1658804697.1934714,2190000,2.905055046081543
1658804730.9376717,2200000,2.9331130981445312
1658804750.473476,2210000,2.9116532802581787
1658804784.477331,2220000,2.8730833530426025
1658804803.9022315,2230000,2.9043045043945312
1658804862.240213,2250000,2.9305663108825684
1658804881.721499,2260000,2.8549177646636963
1658804999.0657935,2300000,2.869427442550659
1658805093.6240084,2330000,2.8471179008483887
1658805173.0739262,2360000,2.89593243598938
1658805227.2065992,2380000,2.8082168102264404
1658805264.290433,2390000,2.7866404056549072
1658805285.126523,2400000,2.772845983505249
1658805344.662241,2420000,2.781829833984375
1658805381.3788817,2430000,2.8243720531463623
1658805437.5725226,2450000,2.774092435836792
1658805458.83174,2460000,2.776301145553589
1658805494.2227387,2470000,2.744931221008301
1658805514.6269948,2480000,2.8047566413879395
1658805668.8712225,2530000,2.7146801948547363
1658805689.0873494,2540000,2.765524387359619
1658805725.7924707,2550000,2.7101645469665527
1658805802.7955804,2580000,2.7232139110565186
1658805839.8226266,2590000,2.7500877380371094
1658805860.2485716,2600000,2.7100231647491455
1658805882.1985416,2610000,2.6928389072418213
1658805939.684134,2630000,2.7105414867401123
1658806163.5867245,2710000,2.624462604522705
1658806199.241651,2720000,2.6287355422973633
1658806275.3974264,2750000,2.58154296875
1658806312.9975035,2760000,2.5830233097076416
1658806333.9793622,2770000,2.6046228408813477
1658806391.0409884,2790000,2.612553119659424
1658806454.171865,2810000,2.588074207305908
1658806510.0418832,2830000,2.570941686630249
1658806546.2941318,2840000,2.5575640201568604
1658806601.3573892,2860000,2.5738699436187744
1658806657.1332955,2880000,2.5624170303344727
1658806676.9938934,2890000,2.5803351402282715
1658806731.6182494,2910000,2.5366318225860596
1658806862.6711137,2960000,2.5231833457946777
1658806897.4826903,2970000,2.535226583480835
1658806916.9064996,2980000,2.523672342300415
1658806952.3576186,2990000,2.4925098419189453
1658806971.941252,3000000,2.4868323802948
1658807120.427864,3050000,2.4519057273864746
1658807174.8476155,3070000,2.482578992843628
1658807194.513517,3080000,2.4573299884796143
1658807230.1536078,3090000,2.4825708866119385
1658807249.441731,3100000,2.4661478996276855
1658807341.991988,3130000,2.442298412322998
1658807361.190107,3140000,2.4811813831329346
1658807452.2306652,3170000,2.4291956424713135
