Wall time,Step,Value
1659531271.040076,10000,3.2957212924957275
1659531326.6777856,40000,3.2957260608673096
1659531347.5243216,50000,3.2957258224487305
1659531356.326922,60000,3.295727491378784
1659531469.2425392,120000,3.2957282066345215
1659531492.2426279,130000,3.2957234382629395
1659531538.3556664,160000,3.295724868774414
1659531557.0682104,170000,3.2957210540771484
1659531582.3849206,180000,3.2957229614257812
1659531612.9175353,200000,3.295717716217041
1659531775.1730955,210000,3.281282901763916
1659531787.0667331,220000,3.275041341781616
1659531831.1445243,240000,3.2823493480682373
1659531843.7297742,250000,3.284937620162964
1659531899.2002435,280000,3.2766830921173096
1659531922.0184078,290000,3.2849478721618652
1659531955.5254266,310000,3.2831571102142334
1659531976.145313,320000,3.284383773803711
1659532028.8267064,350000,3.2811546325683594
1659532044.7801485,360000,3.282989025115967
1659532080.6372738,380000,3.27632474899292
1659532102.0194092,390000,3.2754263877868652
1659532115.5992322,400000,3.279815673828125
1659532284.1506221,410000,3.2628285884857178
1659532302.5066264,420000,3.2638540267944336
1659532431.9503198,490000,3.259799003601074
1659532443.840546,500000,3.263275146484375
1659532464.9013944,510000,3.2676377296447754
1659532486.0077171,520000,3.2621281147003174
1659532499.2775097,530000,3.2674686908721924
1659532515.4199476,540000,3.260410785675049
1659532551.628033,560000,3.2759904861450195
1659532571.2091758,570000,3.2662782669067383
1659532603.1813753,590000,3.261157274246216
1659532807.0417657,620000,3.26112961769104
1659532826.240544,630000,3.2585997581481934
1659532841.814222,640000,3.2579352855682373
1659532864.740919,650000,3.2587404251098633
1659532901.1623986,670000,3.2582623958587646
1659532914.468914,680000,3.262720823287964
1659532934.797175,690000,3.2558064460754395
1659532956.3288789,700000,3.2632954120635986
1659532993.3830893,720000,3.263009786605835
1659533018.9316044,730000,3.257568359375
1659533044.688362,750000,3.258197546005249
1659533085.8617992,770000,3.258584976196289
1659533123.8619213,790000,3.259094476699829
1659533293.2210023,810000,3.2512705326080322
1659533316.3512387,820000,3.2455365657806396
1659533349.5407674,840000,3.245312213897705
1659533372.0672536,850000,3.2469921112060547
1659533399.3185663,870000,3.2450876235961914
1659533418.9911788,880000,3.250087261199951
1659533474.4908183,910000,3.2486586570739746
1659533490.2705698,920000,3.24360990524292
1659533578.5638602,970000,3.2453384399414062
1659533789.627623,1010000,3.2390315532684326
1659533810.8918335,1020000,3.2390265464782715
1659533865.5217683,1050000,3.24151349067688
1659533917.0139244,1080000,3.2433454990386963
1659533936.2161424,1090000,3.2357277870178223
1659533974.7211745,1110000,3.243130683898926
1659533991.9833982,1120000,3.2417123317718506
1659534012.225789,1130000,3.2391250133514404
1659534060.43371,1160000,3.243942975997925
1659534078.6287758,1170000,3.238173723220825
1659534096.66392,1180000,3.2451202869415283
1659534333.3129418,1230000,3.229987859725952
1659534398.9855103,1270000,3.2173495292663574
1659534421.1232247,1280000,3.2265686988830566
1659534455.804884,1300000,3.2196900844573975
1659534468.0664492,1310000,3.226572036743164
1659534490.0170567,1320000,3.21854305267334
1659534507.79759,1330000,3.224652051925659
1659534522.8704474,1340000,3.2276482582092285
1659534555.9339547,1360000,3.211735725402832
1659534597.8905287,1380000,3.2120800018310547
1659534609.7529905,1390000,3.2137577533721924
1659534855.4683802,1450000,3.2054481506347656
1659534872.442442,1460000,3.212026357650757
1659534907.7609692,1480000,3.21065092086792
1659534921.9408674,1490000,3.199657440185547
1659534978.2888978,1520000,3.2163374423980713
1659535100.9614606,1590000,3.2141451835632324
1659535273.985491,1610000,3.19140625
1659535293.6397753,1620000,3.173541307449341
1659535327.1852431,1640000,3.175711154937744
1659535350.0141258,1650000,3.17264986038208
1659535362.2794416,1660000,3.1657278537750244
1659535397.9839911,1680000,3.1810624599456787
1659535470.997093,1720000,3.1774730682373047
1659535488.7648282,1730000,3.172736167907715
1659535506.65456,1740000,3.1835105419158936
1659535555.5134685,1770000,3.179094076156616
1659535578.3678951,1780000,3.1812825202941895
1659535590.2106545,1790000,3.1801209449768066
1659535609.0351012,1800000,3.17646861076355
1659535788.3823783,1820000,3.1640400886535645
1659535806.7911513,1830000,3.1611576080322266
1659535842.0540802,1850000,3.159024715423584
1659535860.222788,1860000,3.1670210361480713
1659535879.8720577,1870000,3.171543598175049
1659535893.8032708,1880000,3.1835906505584717
1659535952.273869,1910000,3.165376663208008
1659535968.9710426,1920000,3.1737682819366455
1659535984.6424127,1930000,3.171708345413208
1659536003.3059516,1940000,3.167604684829712
1659536054.3402867,1970000,3.1673383712768555
1659536106.2085683,2000000,3.1707191467285156
1659536261.662922,2010000,3.153200149536133
1659536282.6012893,2020000,3.140122652053833
1659536317.932832,2040000,3.144456386566162
1659536335.054165,2050000,3.158384084701538
1659536350.6322768,2060000,3.126642942428589
1659536371.3993864,2070000,3.1533758640289307
1659536401.3575315,2090000,3.1338272094726562
1659536441.5128515,2110000,3.1353061199188232
1659536474.1151762,2130000,3.13736891746521
1659536508.8636541,2150000,3.1407382488250732
1659536545.3576937,2170000,3.1505372524261475
1659536562.2459326,2180000,3.1438093185424805
1659536597.2167983,2200000,3.142361640930176
1659536750.3497124,2210000,3.130272626876831
1659536766.9557545,2220000,3.1350507736206055
1659536786.5295513,2230000,3.1379647254943848
1659536805.776251,2240000,3.127061128616333
1659536838.732188,2260000,3.1259710788726807
1659536859.115469,2270000,3.1367249488830566
1659536930.9896967,2310000,3.1354293823242188
1659536982.3926768,2340000,3.1349151134490967
1659537035.4412322,2370000,3.137509822845459
1659537055.2953064,2380000,3.1352319717407227
1659537070.4762003,2390000,3.127617835998535
1659537086.0885746,2400000,3.127026081085205
1659537241.2380123,2410000,3.129579782485962
1659537275.3934505,2430000,3.1155147552490234
1659537293.4979155,2440000,3.0985238552093506
1659537328.4409826,2460000,3.0969958305358887
1659537346.0810843,2470000,3.101536989212036
1659537363.282603,2480000,3.1036171913146973
1659537380.1195009,2490000,3.0938804149627686
1659537417.3887858,2510000,3.1005797386169434
1659537466.5126474,2540000,3.0964720249176025
1659537488.6603062,2550000,3.080923080444336
1659537501.9903893,2560000,3.0946929454803467
1659537553.4392483,2590000,3.0987935066223145
1659537572.6711695,2600000,3.085822582244873
1659537724.179842,2610000,3.090162754058838
1659537744.8903897,2620000,3.092256546020508
1659537775.8715076,2640000,3.0740365982055664
1659537880.1175454,2700000,3.100430488586426
1659537916.6608126,2720000,3.0914957523345947
1659537932.7655153,2730000,3.076366662979126
1659537986.1655283,2760000,3.0754363536834717
1659538005.428807,2770000,3.0816667079925537
1659538019.5356016,2780000,3.0765902996063232
1659538057.648743,2800000,3.08223819732666
1659538228.5320468,2820000,3.05058217048645
1659538266.4806917,2840000,3.0595860481262207
1659538281.087714,2850000,3.055347204208374
1659538317.5136733,2870000,3.046874523162842
1659538351.1932619,2890000,3.046478509902954
1659538371.1366353,2900000,3.0579721927642822
1659538404.3963895,2920000,3.0543041229248047
1659538423.4513948,2930000,3.0560717582702637
1659538492.1045327,2970000,3.05100154876709
1659538509.900447,2980000,3.0604681968688965
1659538528.7483547,2990000,3.0524253845214844
1659538545.7507513,3000000,3.046334981918335
1659538563.6583896,3010000,3.0526349544525146
1659538795.038093,3060000,3.0533180236816406
