Wall time,Step,Value
1658522010.28272,40000,1200.8895263671875
1658522085.334319,50000,1202.2420654296875
1658522398.4284177,120000,1199.2197265625
1658522597.3278482,160000,1199.05859375
1658522651.4201355,170000,1199.9324951171875
1658522799.9604561,200000,1203.9173583984375
1658522868.1103072,210000,1205.7398681640625
1658522921.8869388,220000,1205.8619384765625
1658523091.003117,260000,1205.109130859375
1658523137.3501596,270000,1205.4884033203125
1658523275.3715923,300000,1203.8116455078125
1658523313.2630668,310000,1203.8116455078125
1658523879.6347406,430000,1202.8541259765625
1658523973.9856148,450000,1201.1226806640625
1658524267.9675572,520000,1198.8734130859375
1658524321.6791413,530000,1198.8734130859375
1658524363.4837801,540000,1199.2589111328125
1658524471.963346,560000,1199.8017578125
1658524586.5186393,590000,1202.6256103515625
1658524750.0642471,620000,1198.2845458984375
1658524884.186438,650000,1201.8880615234375
1658524927.5778859,660000,1204.0240478515625
1658524995.5090601,670000,1204.809326171875
1658525016.3396294,680000,1204.51318359375
1658525108.7324038,700000,1208.0968017578125
1658525173.3309863,710000,1208.0968017578125
1658525203.1527252,720000,1208.0968017578125
1658525256.2258286,730000,1208.9056396484375
1658525374.5314999,760000,1210.8448486328125
1658525424.206174,770000,1213.0174560546875
1658525735.5588515,830000,1211.73779296875
1658525844.5433602,850000,1210.53564453125
1658525980.64964,880000,1209.2388916015625
1658526096.918191,910000,1210.4815673828125
1658526277.335267,950000,1213.0601806640625
1658526772.5750945,1050000,1212.921142578125
1658526949.0100398,1090000,1210.6768798828125
1658527070.0606525,1120000,1208.857421875
1658527138.68442,1130000,1208.9197998046875
1658527236.882323,1150000,1209.460205078125
1658527565.1155963,1220000,1204.868896484375
1658527790.7886255,1270000,1206.8404541015625
1658527976.5038123,1310000,1209.1798095703125
1658528006.794802,1320000,1208.1070556640625
1658528112.0092711,1340000,1209.8504638671875
1658528201.7222638,1360000,1210.966796875
1658528494.392334,1420000,1209.83447265625
1658528548.1012633,1430000,1208.1339111328125
1658528863.5224805,1500000,1218.20751953125
1658528964.2590334,1520000,1221.4091796875
1658528984.8449695,1530000,1221.530029296875
1658529139.9383128,1560000,1222.79931640625
1658529479.8243873,1630000,1224.8660888671875
1658529616.4603698,1660000,1228.6556396484375
1658529695.652656,1680000,1230.634033203125
1658529773.0731504,1700000,1230.609375
1658530050.3299,1760000,1228.515380859375
1658530101.676862,1770000,1230.2904052734375
1658530137.248033,1780000,1234.063720703125
1658530383.7238345,1830000,1233.50927734375
1658530588.150623,1870000,1234.4676513671875
1658530715.0009298,1900000,1235.132080078125
1658530763.4755569,1910000,1227.8914794921875
1658530822.3691378,1920000,1227.8809814453125
1658531005.6425297,1960000,1231.16064453125
1658531048.488315,1970000,1230.6851806640625
1658531105.2171805,1980000,1230.716552734375
1658531435.8072724,2050000,1250.13525390625
1658531586.2878716,2080000,1249.9940185546875
1658531620.6752844,2090000,1254.1153564453125
1658531666.9231806,2100000,1256.737060546875
1658531717.4552965,2110000,1267.1376953125
1658531826.9105673,2130000,1275.8780517578125
1658531997.1240606,2170000,1270.5455322265625
1658532095.8303115,2190000,1274.198974609375
1658532207.056467,2210000,1279.8433837890625
