Wall time,Step,Value
1659415387.6924872,10000,1199.5029296875
1659415444.1086512,40000,1199.9998779296875
1659415474.6580725,60000,1200.749267578125
1659415501.3214214,70000,1200.99853515625
1659415688.1102479,180000,1202.99560546875
1659415715.6499891,190000,1202.99560546875
1659415794.2667127,230000,1202.2261962890625
1659415803.0913484,240000,1201.97412109375
1659415824.815968,250000,1203.2227783203125
1659415876.4567606,280000,1203.9599609375
1659415913.6258526,300000,1204.6964111328125
1659415932.052278,310000,1205.8079833984375
1659415986.0840662,340000,1205.1630859375
1659416004.313909,350000,1204.907470703125
1659416074.8265202,390000,1203.144287109375
1659416092.1251166,400000,1202.8907470703125
1659416121.5300007,410000,1202.8907470703125
1659416158.5083919,430000,1202.0506591796875
1659416225.5392268,470000,1200.87744140625
1659416642.4150813,510000,1197.0374755859375
1659416654.9294305,520000,1196.3814697265625
1659416694.7153068,540000,1199.0384521484375
1659416706.985021,550000,1199.7962646484375
1659416730.7403862,560000,1200.04833984375
1659416747.6801982,570000,1199.30517578125
1659416759.6679463,580000,1199.0579833984375
1659416925.7746816,660000,1197.56640625
1659416972.3451097,690000,1198.5809326171875
1659416992.4107153,700000,1199.75830078125
1659417013.954532,710000,1200.232177734375
1659417028.1839335,720000,1200.997802734375
1659417049.4907243,730000,1201.748779296875
1659417077.9052508,750000,1201.256591796875
1659417099.289519,760000,1202.755859375
1659417134.4102724,780000,1201.0159912109375
1659417206.4814684,810000,1200.2894287109375
1659417218.6310992,820000,1199.4168701171875
1659417257.8261046,840000,1199.29248046875
1659417269.9069583,850000,1199.29248046875
1659417309.2191944,870000,1197.5548095703125
1659417330.0095444,880000,1198.016357421875
1659417341.4698606,890000,1197.5152587890625
1659417359.2583883,900000,1196.3251953125
1659417398.8987303,920000,1196.3970947265625
1659417431.3029246,940000,1197.1981201171875
1659417469.2178705,960000,1197.79150390625
1659417501.7399948,980000,1195.583740234375
1659417533.2173045,1000000,1194.83935546875
1659417919.6729558,1020000,1194.98876953125
1659417937.696978,1030000,1193.913330078125
1659417974.8875773,1050000,1195.712646484375
1659417988.7976732,1060000,1198.60302734375
1659418023.6729631,1080000,1197.7327880859375
1659418043.5153944,1090000,1199.10107421875
1659418097.1950603,1120000,1200.81640625
1659418115.270785,1130000,1200.3311767578125
1659418201.0882118,1180000,1206.864990234375
1659418284.4986973,1220000,1208.5660400390625
1659418309.5240371,1230000,1207.972412109375
1659418359.716,1260000,1210.9249267578125
1659418406.7816966,1290000,1211.3597412109375
1659418427.0817962,1300000,1211.4781494140625
1659418461.7049835,1320000,1212.4105224609375
1659418484.816059,1330000,1212.5225830078125
1659418497.4328985,1340000,1213.3375244140625
1659418551.3616512,1370000,1210.842041015625
1659418561.2401273,1380000,1211.8140869140625
1659418583.6801114,1390000,1214.0152587890625
1659418686.397905,1440000,1216.732666015625
1659418757.3225539,1480000,1221.2742919921875
1659418767.3939016,1490000,1222.0941162109375
1659419144.2841856,1510000,1219.081787109375
1659419159.3607302,1520000,1222.52099609375
1659419177.9795885,1530000,1229.10693359375
1659419198.9515471,1540000,1233.072265625
1659419215.1484075,1550000,1230.23095703125
1659419244.056077,1570000,1234.85791015625
1659419279.3541563,1590000,1231.4132080078125
1659419299.1347175,1600000,1234.5537109375
1659419416.7870674,1660000,1234.365966796875
1659419435.352315,1670000,1236.5701904296875
1659419470.2674496,1690000,1233.527099609375
1659419494.4126294,1700000,1232.891357421875
1659419540.0111475,1730000,1232.3465576171875
1659419664.4734273,1800000,1231.6907958984375
1659419707.417196,1820000,1242.6923828125
1659419722.6785986,1830000,1240.548828125
1659419757.3659768,1850000,1239.537109375
1659419775.1420732,1860000,1237.9122314453125
1659419795.4810061,1870000,1238.52490234375
1659419828.206246,1890000,1237.349853515625
1659419862.485474,1910000,1236.365234375
1659419899.5554442,1930000,1233.342529296875
1659419915.831976,1940000,1234.9814453125
1659419937.29681,1950000,1236.916015625
1659419984.8790758,1980000,1232.20068359375
1659420002.4400418,1990000,1231.1793212890625
1659420024.5249422,2000000,1228.492431640625
1659420381.6917865,2010000,1230.0128173828125
1659420419.3880682,2030000,1227.999267578125
1659420436.9564643,2040000,1228.0736083984375
1659420475.3408327,2060000,1234.5814208984375
1659420492.5352542,2070000,1237.6328125
1659420512.2514324,2080000,1239.3582763671875
1659420526.7217145,2090000,1238.84619140625
1659420580.4236934,2120000,1237.82373046875
1659420598.925002,2130000,1236.1861572265625
1659420613.8016398,2140000,1238.4381103515625
1659420633.7024505,2150000,1241.68505859375
1659420688.2176602,2180000,1241.2706298828125
1659420749.6490245,2210000,1237.8873291015625
1659420765.94559,2220000,1239.127685546875
1659420788.8145654,2230000,1239.0078125
1659420816.5021558,2250000,1241.910400390625
1659420840.2427192,2260000,1240.3033447265625
1659420853.9545972,2270000,1238.502197265625
1659420873.2895875,2280000,1236.73583984375
1659420909.489588,2300000,1233.931884765625
1659420943.8779838,2320000,1237.0882568359375
1659420977.7960997,2340000,1239.4534912109375
1659421013.8419697,2360000,1251.467529296875
1659421051.8362186,2380000,1252.8770751953125
1659421066.6596637,2390000,1255.2586669921875
1659421107.8538363,2410000,1253.441650390625
1659421124.2827902,2420000,1253.30078125
1659421139.6058433,2430000,1253.080810546875
1659421162.403279,2440000,1250.1087646484375
1659421176.0755074,2450000,1246.8399658203125
1659421213.001939,2470000,1235.800537109375
1659421231.9566467,2480000,1231.704345703125
1659421653.2503884,2520000,1229.7919921875
1659421701.834209,2550000,1232.8331298828125
1659421743.8074806,2570000,1235.71923828125
1659421758.112752,2580000,1235.316650390625
1659421777.3638818,2590000,1236.123046875
1659421793.768781,2600000,1237.1317138671875
1659421815.333571,2610000,1239.5423583984375
1659421836.8165972,2620000,1239.2275390625
1659421868.8374953,2640000,1239.7645263671875
1659421889.388044,2650000,1243.7562255859375
1659421922.0508049,2670000,1249.486328125
1659421942.16155,2680000,1253.4149169921875
1659421962.4638155,2690000,1250.9556884765625
1659421974.683971,2700000,1251.34521484375
1659422012.751151,2720000,1252.8343505859375
1659422066.5741572,2750000,1266.2113037109375
1659422081.1991282,2760000,1266.881103515625
1659422102.2523088,2770000,1268.427978515625
1659422154.2139726,2800000,1271.2869873046875
1659422174.7643213,2810000,1273.72705078125
1659422193.2495384,2820000,1267.5469970703125
1659422211.1146963,2830000,1266.5699462890625
1659422246.3851752,2850000,1265.380126953125
1659422264.1901758,2860000,1266.6851806640625
1659422352.5878155,2910000,1274.5186767578125
1659422393.372407,2930000,1273.9683837890625
1659422405.7835464,2940000,1271.0540771484375
1659422457.1406033,2970000,1269.8314208984375
1659422476.4806497,2980000,1265.896240234375
1659422495.2090347,2990000,1265.1632080078125
1659422869.8852189,3010000,1266.09912109375
1659422902.957708,3030000,1271.033935546875
1659422940.338432,3050000,1269.9178466796875
1659422956.7943604,3060000,1273.2620849609375
1659422974.9061625,3070000,1276.199951171875
1659422992.4188194,3080000,1275.914794921875
1659423035.3508947,3100000,1279.755126953125
1659423053.2721379,3110000,1283.0946044921875
1659423087.5637448,3130000,1290.54931640625
1659423106.0547569,3140000,1290.6959228515625
1659423174.566412,3180000,1300.214111328125
1659423192.787643,3190000,1300.2728271484375
1659423209.1275232,3200000,1303.5162353515625
1659423232.8565269,3210000,1312.6707763671875
1659423250.4432378,3220000,1315.053955078125
1659423341.076848,3270000,1289.8154296875
1659423358.0219052,3280000,1289.9024658203125
1659423374.2223978,3290000,1288.2537841796875
1659423390.679415,3300000,1287.599365234375
1659423408.9687233,3310000,1289.2027587890625
1659423427.439632,3320000,1290.6729736328125
1659423479.1124022,3350000,1292.3670654296875
1659423497.303093,3360000,1294.384033203125
1659423517.9851632,3370000,1295.8848876953125
1659423533.2796092,3380000,1294.0380859375
1659423550.9728532,3390000,1291.9466552734375
1659423587.9753869,3410000,1288.56982421875
1659423608.7140563,3420000,1292.664794921875
1659423661.3610566,3450000,1294.3958740234375
1659423699.6613798,3470000,1296.56640625
1659424127.5633976,3520000,1301.0306396484375
1659424147.1070323,3530000,1300.482666015625
1659424163.1259484,3540000,1304.52880859375
1659424182.2054343,3550000,1305.6229248046875
1659424200.4497173,3560000,1308.8048095703125
1659424269.6331098,3600000,1307.8521728515625
