Wall time,Step,Value
1658995581.4584365,10000,1202.8099365234375
1658995639.502089,40000,1202.9385986328125
1658995659.0856798,50000,1202.9385986328125
1658995675.5108721,60000,1202.9385986328125
1658995789.328316,120000,1201.8851318359375
1658995802.3805268,130000,1201.510498046875
1658995823.6896348,140000,1200.88671875
1658995920.675476,190000,1200.785888671875
1658995935.6681075,200000,1201.770751953125
1658996124.4687805,210000,1203.234375
1658996157.6405525,230000,1205.452392578125
1658996182.4276052,240000,1205.8602294921875
1658996201.1800365,250000,1206.2294921875
1658996239.885199,270000,1207.03369140625
1658996251.2687452,280000,1206.777099609375
1658996312.8235571,310000,1202.7373046875
1658996371.566827,340000,1203.1614990234375
1658996378.498742,350000,1201.9166259765625
1658996401.6684184,360000,1201.465576171875
1658996439.8398552,380000,1200.9151611328125
1658996668.9148676,410000,1201.673583984375
1658996689.3353505,420000,1201.673583984375
1658996726.6347778,440000,1201.04443359375
1658996739.924361,450000,1198.501220703125
1658996782.8261185,470000,1198.05615234375
1658996788.711814,480000,1199.5673828125
1658996815.274095,490000,1200.8988037109375
1658996963.7585633,570000,1202.2020263671875
1658996984.1759875,580000,1203.211181640625
1658996996.2003317,590000,1201.965576171875
1658997015.7279594,600000,1201.2215576171875
1658997201.8969426,610000,1201.3704833984375
1658997225.7713141,620000,1200.502197265625
1658997271.6169345,650000,1200.7542724609375
1658997293.7712092,660000,1199.5042724609375
1658997313.7532537,670000,1199.512451171875
1658997349.444657,690000,1199.1082763671875
1658997402.7859263,720000,1199.0404052734375
1658997427.3011184,730000,1198.791015625
1658997441.5986855,740000,1198.050048828125
1658997479.4872491,760000,1197.8035888671875
1658997519.6341114,780000,1197.8035888671875
1658997553.1269052,800000,1198.3079833984375
1658997740.76842,810000,1198.3251953125
1658997765.5298953,820000,1197.8287353515625
1658997795.5524976,840000,1197.2525634765625
1658997820.6632707,850000,1198.0181884765625
1658997873.980874,880000,1198.439697265625
1658997906.8611867,900000,1197.815673828125
1658997941.6275659,920000,1196.817138671875
1658997965.2560453,930000,1196.817138671875
1658997982.0853114,940000,1196.817138671875
1658998018.4343026,960000,1198.0704345703125
1658998053.6345642,980000,1198.087158203125
1658998070.412735,990000,1199.0904541015625
1658998282.826118,1010000,1199.84033203125
1658998298.1661687,1020000,1200.58740234375
1658998314.5314088,1030000,1200.9849853515625
1658998351.3146808,1050000,1204.4407958984375
1658998370.0715916,1060000,1204.8692626953125
1658998481.8145723,1120000,1204.6153564453125
1658998498.2568243,1130000,1204.178466796875
1658998556.6607487,1160000,1202.2088623046875
1658998571.9276652,1170000,1201.5765380859375
1658998838.994538,1220000,1200.9013671875
1658998866.9166083,1230000,1201.513427734375
1658998964.1168811,1290000,1200.1395263671875
1658999011.9294097,1310000,1199.1412353515625
1658999023.0634782,1320000,1198.5196533203125
1658999042.6384454,1330000,1198.9019775390625
