Wall time,Step,Value
1658904499.3953836,10000,1198.7579345703125
1658904537.562604,30000,1199.0186767578125
1658904563.2618349,40000,1199.0186767578125
1658904581.0265832,50000,1200.2720947265625
1658904800.545893,120000,1200.7659912109375
1658904825.2783322,130000,1200.141357421875
1658904924.36113,160000,1200.701904296875
1658904956.953415,180000,1202.008056640625
1658904978.837981,190000,1202.008056640625
1658905068.1097286,210000,1199.0736083984375
1658905079.4926991,220000,1200.4351806640625
1658905102.3549423,230000,1200.41259765625
1658905142.7686274,250000,1196.727294921875
1658905200.78306,260000,1197.0697021484375
1658905250.9531348,290000,1196.8687744140625
1658905273.7196198,300000,1196.3883056640625
1658905347.6102736,320000,1202.7537841796875
1658905369.601969,330000,1200.378662109375
1658905466.4583113,360000,1200.11767578125
1658905480.676269,370000,1201.7484130859375
1658905522.5629628,390000,1200.1175537109375
1658905540.1471677,400000,1201.016845703125
1658905606.1853826,410000,1204.0775146484375
1658905623.9346814,420000,1206.866943359375
1658905638.0219238,430000,1206.9786376953125
1658905811.0149395,500000,1206.19482421875
1658905829.5306978,510000,1207.0479736328125
1658905889.7757108,520000,1207.258544921875
1658905906.7678843,530000,1208.14892578125
1658905925.5364623,540000,1208.9205322265625
1658905942.723032,550000,1209.0108642578125
1658906024.3733711,570000,1212.7933349609375
1658906038.1841743,580000,1216.2484130859375
1658906076.8431497,600000,1215.2393798828125
1658906180.468319,630000,1212.0159912109375
1658906200.9588306,640000,1212.0670166015625
1658906221.5240753,650000,1215.333740234375
1658906241.511054,660000,1216.3580322265625
1658906317.0632718,680000,1216.086181640625
1658906329.85058,690000,1214.7298583984375
1658906356.1537905,700000,1215.4271240234375
1658906369.598097,710000,1216.7147216796875
1658906444.971501,730000,1223.7119140625
1658906464.0192306,740000,1219.5987548828125
1658906507.2406056,760000,1219.909912109375
1658906578.307231,780000,1220.0179443359375
1658906618.797027,800000,1227.27783203125
1658906703.0866332,820000,1231.5267333984375
1658906717.1627183,830000,1230.810302734375
1658906758.3928514,850000,1225.591796875
1658906777.2661066,860000,1229.6929931640625
1658906850.2714515,880000,1241.903564453125
1658906869.0250707,890000,1252.37060546875
1658906967.7062943,920000,1253.01953125
1658906984.2878802,930000,1257.7515869140625
1658907116.3420968,980000,1261.35498046875
1658907236.4445403,1020000,1267.927978515625
1658907255.2475312,1030000,1266.41015625
1658907312.3161619,1060000,1278.935302734375
1658907409.921867,1090000,1288.6214599609375
1658907432.1357622,1100000,1287.4658203125
1658907504.9266527,1120000,1289.5902099609375
1658907524.9433153,1130000,1295.149658203125
1658907544.455656,1140000,1297.2972412109375
1658907639.233007,1170000,1298.7528076171875
1658907659.3120468,1180000,1298.566162109375
1658907679.7601085,1190000,1292.1260986328125
1658907813.4995546,1240000,1305.97314453125
1658907927.8759193,1280000,1318.9141845703125
1658907946.3344197,1290000,1317.9915771484375
1658907986.8227072,1310000,1316.6429443359375
1658908042.8278744,1320000,1316.44677734375
1658908062.5271368,1330000,1316.3876953125
1658908079.6898904,1340000,1325.5789794921875
1658908099.6966584,1350000,1328.1060791015625
1658908175.627403,1370000,1328.6884765625
1658908214.300151,1390000,1341.7669677734375
1658908232.353915,1400000,1342.82958984375
1658908390.8711998,1460000,1338.559326171875
1658908450.0425029,1470000,1335.643798828125
1658908489.44567,1490000,1334.28076171875
1658908509.2322657,1500000,1329.386962890625
