,episode,score
76,76,Blue Team Scored!
77,77,Blue Team Scored!
78,78,Purple Team Scored!
79,79,Blue Team Scored!
80,80,Blue Team Scored!
81,81,Blue Team Scored!
82,82,Blue Team Scored!
83,83,Purple Team Scored!
84,84,Blue Team Scored!
85,85,Blue Team Scored!
86,86,Blue Team Scored!
87,87,Purple Team Scored!
88,88,Purple Team Scored!
89,89,Blue Team Scored!
90,90,Blue Team Scored!
91,91,Purple Team Scored!
92,92,Purple Team Scored!
93,93,Purple Team Scored!
94,94,Purple Team Scored!
95,95,Blue Team Scored!
96,96,Blue Team Scored!
97,97,Purple Team Scored!
98,98,Purple Team Scored!
99,99,Blue Team Scored!
100,100,Blue Team Scored!
101,101,Blue Team Scored!
102,102,Blue Team Scored!
103,103,Blue Team Scored!
104,104,Blue Team Scored!
105,105,Purple Team Scored!
106,106,Purple Team Scored!
107,107,Purple Team Scored!
108,108,Blue Team Scored!
109,109,Blue Team Scored!
110,110,Blue Team Scored!
111,111,Blue Team Scored!
112,112,Purple Team Scored!
113,113,Blue Team Scored!
114,114,Blue Team Scored!
115,115,Blue Team Scored!
116,116,Blue Team Scored!
117,117,Purple Team Scored!
118,118,Purple Team Scored!
119,119,Purple Team Scored!
120,120,Blue Team Scored!
121,121,Purple Team Scored!
122,122,Purple Team Scored!
123,123,Blue Team Scored!
124,124,Blue Team Scored!
125,125,Blue Team Scored!
126,126,Blue Team Scored!
127,127,Blue Team Scored!
128,128,Blue Team Scored!
129,129,Blue Team Scored!
130,130,Blue Team Scored!
131,131,Purple Team Scored!
132,132,Purple Team Scored!
133,133,Blue Team Scored!
134,134,Blue Team Scored!
135,135,Blue Team Scored!
136,136,Purple Team Scored!
137,137,Blue Team Scored!
138,138,Purple Team Scored!
139,139,Blue Team Scored!
140,140,Blue Team Scored!
141,141,Blue Team Scored!
142,142,Purple Team Scored!
143,143,Blue Team Scored!
144,144,Blue Team Scored!
145,145,Blue Team Scored!
146,146,Blue Team Scored!
147,147,Purple Team Scored!
148,148,Purple Team Scored!
149,149,Blue Team Scored!
150,150,Purple Team Scored!
151,151,Blue Team Scored!
152,152,Purple Team Scored!
153,153,Blue Team Scored!
154,154,Purple Team Scored!
155,155,Blue Team Scored!
156,156,Purple Team Scored!
157,157,Blue Team Scored!
158,158,Blue Team Scored!
159,159,Purple Team Scored!
160,160,Purple Team Scored!
161,161,Blue Team Scored!
162,162,Blue Team Scored!
163,163,Purple Team Scored!
164,164,Purple Team Scored!
165,165,Purple Team Scored!
166,166,Blue Team Scored!
167,167,Purple Team Scored!
168,168,Blue Team Scored!
169,169,Blue Team Scored!
170,170,Blue Team Scored!
171,171,Blue Team Scored!
172,172,Purple Team Scored!
173,173,Blue Team Scored!
174,174,Blue Team Scored!
175,175,Blue Team Scored!
176,176,Purple Team Scored!
177,177,Purple Team Scored!
178,178,Blue Team Scored!
179,179,Blue Team Scored!
180,180,Purple Team Scored!
181,181,Blue Team Scored!
182,182,Blue Team Scored!
183,183,Blue Team Scored!
184,184,Purple Team Scored!
185,185,Purple Team Scored!
186,186,Purple Team Scored!
187,187,Purple Team Scored!
188,188,Blue Team Scored!
189,189,Purple Team Scored!
190,190,Blue Team Scored!
191,191,Blue Team Scored!
192,192,Blue Team Scored!
193,193,Blue Team Scored!
194,194,Purple Team Scored!
195,195,Purple Team Scored!
196,196,Purple Team Scored!
197,197,Purple Team Scored!
198,198,Blue Team Scored!
199,199,Blue Team Scored!
200,200,Blue Team Scored!
201,201,Blue Team Scored!
202,202,Blue Team Scored!
203,203,Blue Team Scored!
204,204,Purple Team Scored!
205,205,Blue Team Scored!
206,206,Blue Team Scored!
207,207,Blue Team Scored!
208,208,Purple Team Scored!
209,209,Blue Team Scored!
210,210,Purple Team Scored!
211,211,Purple Team Scored!
212,212,Blue Team Scored!
213,213,Blue Team Scored!
214,214,Blue Team Scored!
215,215,Purple Team Scored!
216,216,Blue Team Scored!
217,217,Blue Team Scored!
218,218,Blue Team Scored!
219,219,Purple Team Scored!
220,220,Blue Team Scored!
221,221,Blue Team Scored!
222,222,Blue Team Scored!
223,223,Purple Team Scored!
224,224,Blue Team Scored!
225,225,Blue Team Scored!
226,226,Purple Team Scored!
227,227,Purple Team Scored!
228,228,Purple Team Scored!
229,229,Blue Team Scored!
230,230,Blue Team Scored!
231,231,Purple Team Scored!
232,232,Blue Team Scored!
233,233,Purple Team Scored!
234,234,Purple Team Scored!
235,235,Blue Team Scored!
236,236,Purple Team Scored!
237,237,Purple Team Scored!
238,238,Blue Team Scored!
239,239,Purple Team Scored!
240,240,Blue Team Scored!
241,241,Blue Team Scored!
242,242,Purple Team Scored!
243,243,Blue Team Scored!
244,244,Blue Team Scored!
245,245,Purple Team Scored!
246,246,Purple Team Scored!
247,247,Blue Team Scored!
248,248,Blue Team Scored!
249,249,Purple Team Scored!
250,250,Purple Team Scored!
251,251,Purple Team Scored!
252,252,Purple Team Scored!
253,253,Purple Team Scored!
254,254,Blue Team Scored!
255,255,Blue Team Scored!
256,256,Blue Team Scored!
257,257,Blue Team Scored!
258,258,Purple Team Scored!
259,259,Blue Team Scored!
260,260,Blue Team Scored!
261,261,Blue Team Scored!
262,262,Blue Team Scored!
263,263,Blue Team Scored!
264,264,Blue Team Scored!
265,265,Blue Team Scored!
266,266,Blue Team Scored!
267,267,Purple Team Scored!
268,268,Blue Team Scored!
269,269,Purple Team Scored!
270,270,Purple Team Scored!
271,271,Purple Team Scored!
272,272,Purple Team Scored!
273,273,Purple Team Scored!
274,274,Purple Team Scored!
275,275,Blue Team Scored!
276,276,Purple Team Scored!
277,277,Purple Team Scored!
278,278,Purple Team Scored!
279,279,Blue Team Scored!
280,280,Blue Team Scored!
281,281,Blue Team Scored!
282,282,Purple Team Scored!
283,283,Blue Team Scored!
284,284,Purple Team Scored!
285,285,Blue Team Scored!
286,286,Purple Team Scored!
287,287,Purple Team Scored!
288,288,Purple Team Scored!
289,289,Blue Team Scored!
290,290,Blue Team Scored!
291,291,Blue Team Scored!
292,292,Purple Team Scored!
293,293,Blue Team Scored!
294,294,Blue Team Scored!
295,295,Blue Team Scored!
296,296,Purple Team Scored!
297,297,Purple Team Scored!
298,298,Blue Team Scored!
299,299,Blue Team Scored!
300,300,Purple Team Scored!
301,301,Blue Team Scored!
302,302,Blue Team Scored!
303,303,Purple Team Scored!
304,304,Purple Team Scored!
305,305,Purple Team Scored!
306,306,Purple Team Scored!
307,307,Blue Team Scored!
308,308,Blue Team Scored!
309,309,Blue Team Scored!
310,310,Blue Team Scored!
311,311,Blue Team Scored!
312,312,Blue Team Scored!
313,313,Blue Team Scored!
314,314,Purple Team Scored!
315,315,Purple Team Scored!
316,316,Blue Team Scored!
317,317,Blue Team Scored!
318,318,Purple Team Scored!
