,episode,score
228,228,Purple Team Scored!
229,229,Blue Team Scored!
230,230,Purple Team Scored!
231,231,Blue Team Scored!
232,232,Blue Team Scored!
233,233,Purple Team Scored!
234,234,Purple Team Scored!
235,235,Purple Team Scored!
236,236,Purple Team Scored!
237,237,Blue Team Scored!
238,238,Blue Team Scored!
239,239,Blue Team Scored!
240,240,Purple Team Scored!
241,241,Purple Team Scored!
242,242,Purple Team Scored!
243,243,Purple Team Scored!
244,244,Purple Team Scored!
245,245,Purple Team Scored!
246,246,Purple Team Scored!
247,247,Purple Team Scored!
248,248,Blue Team Scored!
249,249,Blue Team Scored!
250,250,Purple Team Scored!
251,251,Blue Team Scored!
252,252,Purple Team Scored!
253,253,Blue Team Scored!
254,254,Blue Team Scored!
255,255,Blue Team Scored!
256,256,Blue Team Scored!
257,257,Purple Team Scored!
258,258,Purple Team Scored!
259,259,Purple Team Scored!
260,260,Purple Team Scored!
261,261,Purple Team Scored!
262,262,Blue Team Scored!
263,263,Purple Team Scored!
264,264,Purple Team Scored!
265,265,Blue Team Scored!
266,266,Purple Team Scored!
267,267,Blue Team Scored!
268,268,Purple Team Scored!
269,269,Purple Team Scored!
270,270,Purple Team Scored!
271,271,Blue Team Scored!
272,272,Blue Team Scored!
273,273,Purple Team Scored!
274,274,Purple Team Scored!
275,275,Blue Team Scored!
276,276,Purple Team Scored!
277,277,Purple Team Scored!
278,278,Blue Team Scored!
279,279,Blue Team Scored!
280,280,Blue Team Scored!
281,281,Purple Team Scored!
282,282,Blue Team Scored!
283,283,Purple Team Scored!
284,284,Purple Team Scored!
285,285,Blue Team Scored!
286,286,Purple Team Scored!
287,287,Purple Team Scored!
288,288,Blue Team Scored!
289,289,Purple Team Scored!
290,290,Purple Team Scored!
291,291,Blue Team Scored!
292,292,Purple Team Scored!
293,293,Blue Team Scored!
294,294,Purple Team Scored!
295,295,Purple Team Scored!
296,296,Purple Team Scored!
297,297,Purple Team Scored!
298,298,Purple Team Scored!
299,299,Blue Team Scored!
300,300,Blue Team Scored!
301,301,Purple Team Scored!
302,302,Purple Team Scored!
303,303,Purple Team Scored!
304,304,Blue Team Scored!
305,305,Purple Team Scored!
306,306,Purple Team Scored!
307,307,Purple Team Scored!
